"Nama Armada","No. perangkat","No. Reg.","Waktu Mulai","Lin.","Buj.","Alamat","Waktu Berakhir","Lin.","Buj.","Alamat","Waktu Mengemudi (hh:mm:ss)","Jarak Tempuh (km)"
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 05:09:22","-6.969727","107.612905","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/10 05:09:50","-6.969727","107.612905","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:00:28",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 05:15:46","-6.969472","107.613012","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","2026/03/10 05:29:57","-6.968235","107.615578","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","0:14:11",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 05:32:29","-6.968235","107.615578","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","2026/03/10 05:38:36","-6.956752","107.610132","1st Mekar Utama Parkway 41, Bandung City 40255, JR, Indonesia","0:06:06",1
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 05:42:39","-6.956752","107.610132","1st Mekar Utama Parkway 41, Bandung City 40255, JR, Indonesia","2026/03/10 06:12:32","-6.884810","107.519602","Pertamina, Jalan Tol Padalarang–Cileunyi, Cimahi 40531, JR, Indonesia","0:29:53",15
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 06:16:26","-6.884808","107.519608","Pertamina, Jalan Tol Padalarang–Cileunyi, Cimahi 40531, JR, Indonesia","2026/03/10 07:39:34","-6.377435","107.325125","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","1:23:07",74
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 07:40:07","-6.377435","107.325125","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 07:40:26","-6.377435","107.325125","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:00:18",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 09:40:32","-6.377303","107.325070","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 09:44:25","-6.377150","107.325475","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:03:53",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 10:58:02","-6.377288","107.325358","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 11:03:21","-6.377102","107.325458","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:05:18",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 11:05:01","-6.377102","107.325458","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 11:05:38","-6.377102","107.325458","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:00:36",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 11:11:50","-6.377102","107.325458","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 11:12:34","-6.377102","107.325458","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:00:43",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 12:04:26","-6.377153","107.325290","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 12:04:36","-6.377153","107.325290","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:00:10",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 12:17:49","-6.377095","107.325360","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 12:21:33","-6.377095","107.325360","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:03:43",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 14:00:04","-6.376960","107.325192","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 14:28:43","-6.376960","107.325192","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:28:38",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 14:28:44","-6.377300","107.325298","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 14:28:53","-6.377300","107.325298","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","0:00:08",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 14:48:00","-6.377325","107.325255","The Manor, Kawasan Industri Mitra Karawang, Parungmulya 41371, JR, Indonesia","2026/03/10 17:31:52","-6.969500","107.612453","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2:43:52",91
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 17:54:33","-6.969500","107.612453","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/10 18:06:25","-6.968563","107.611278","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","0:11:51",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 18:06:29","-6.968563","107.611278","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","2026/03/10 18:06:37","-6.968563","107.611278","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","0:00:07",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 19:11:49","-6.968582","107.611370","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","2026/03/10 19:16:47","-6.968612","107.611758","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","0:04:57",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 20:21:22","-6.968537","107.611710","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","2026/03/10 20:42:23","-6.964573","107.614928","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","0:21:00",1
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 22:51:08","-6.964653","107.614917","Pertamina, Jalan Mohammad Toha No 33, Kec. Dayeuhkolot, Bandung City 40255, JR, Indonesia","2026/03/10 23:06:37","-6.969458","107.612220","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:15:29",1
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/10 23:17:51","-6.969547","107.612245","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/10 23:20:42","-6.969740","107.612227","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:02:51",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/11 01:14:50","-6.969797","107.612153","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/11 01:16:36","-6.969903","107.612160","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:01:46",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/11 01:35:49","-6.969903","107.612160","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/11 01:38:05","-6.969795","107.612167","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:02:16",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/11 08:14:08","-6.969710","107.612198","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/11 08:28:55","-6.969745","107.612128","Karedok Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:14:47",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/11 09:11:13","-6.969708","107.612212","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/11 09:21:02","-6.969457","107.611807","Karedok Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:09:49",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/11 15:47:58","-6.969413","107.611832","Karedok Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/11 15:56:56","-6.969468","107.612193","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:08:57",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/11 16:24:44","-6.969468","107.612193","Palasari Ceres, Jalan Dayeuhkolot, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/11 16:26:32","-6.969673","107.612185","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:01:47",0
"PT Aliansi","864636060627664","B 9928 TEZ","2026/03/11 16:36:38","-6.969673","107.612185","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","2026/03/11 16:36:44","-6.969673","107.612185","Warung Nasi Riska Rahayu Alengka, Jalan Cisirung, Kawasan Industri Dayeuhkolot, Dayeuhkolot 40257, JR, Indonesia","0:00:06",0
